-3.60E+01,0.00E+00,0.00E+00.1,0.00E+00.2,2.66E-14,0.00E+00.3,6.86E-14,0.00E+00.4,7.68E-14,0.00E+00.5,6.75E-14,0.00E+00.6,3.51E-14,0
4.62,-29.2,-22.0,6.71,13.8,11.3,8.51,21.1,-1.63,-2.89,13.2,-8.88,-3.13,0
3.81,-31.5,-16.3,-8.6,-10.2,-3.57,-16.1,-0.155,5.52,12.0,7.06,-9.8,-5.35,0
0.665,-38.7,-5.19,-4.62,-13.7,-14.1,5.15,5.09,-12.6,1.14,5.97,-8.1,6.96,0
2.54,-43.7,-20.7,-9.95,-12.4,-2.44,9.3,-13.3,-28.7,-2.62,9.08,5.87,9.18,0
1.08,-36.5,-9.86,-11.4,-15.5,-6.37,-4.43,-13.9,7.37,1.75,3.35,-3.92,-5.97,0
2.75,-26.3,-20.7,-22.0,1.1,2.79,-19.7,-28.6,-5.03,4.14,0.169,-0.997,7.12,0
2.46,-34.5,-16.3,-12.4,-6.7,0.326,17.1,8.43,1.26,-5.45,7.93,0.0371,-3.16,0
1.07,-39.7,-8.83,-3.92,-8.04,5.84,10.7,3.17,0.838,-8.28,-20.3,-4.39,-1.54,0
2.5,-25.3,-9.76,-4.2,9.94,-0.0962,1.06,-5.73,-16.8,-2.85,11.3,-6.49,-8.91,0
-0.0252,-31.4,-22.0,-2.41,-9.55,-7.88,3.09,-11.7,11.0,-12.9,11.7,-11.4,7.14,0
2.05,-38.0,-15.9,-8.16,-7.48,-7.04,-1.08,-1.37,16.6,26.6,9.08,0.333,-9.14,0
1.77,-34.6,-9.73,8.16,15.5,-4.72,-0.437,-16.1,-17.6,-2.91,10.4,-4.63,-1.73,0
3.75,-34.0,-17.7,-1.04,-1.56,-1.47,-9.57,-4.35,-5.82,1.46,7.71,-6.77,20.2,0
2.78,-26.6,-10.7,-5.21,-7.75,-12.9,-2.46,-3.69,-15.5,-1.64,20.2,8.46,3.97,0
2.42,-25.9,-3.04,0.0404,-5.95,-17.5,11.3,20.1,8.58,-12.2,-13.3,14.4,3.5,0
6.27,-33.3,-1.47,-3.7,0.699,8.15,-20.0,9.39,-14.6,20.8,-18.9,4.42,-5.06,0
2.58,-29.0,-6.44,1.81,2.96,-1.7,5.24,-5.25,-2.67,-19.0,0.485,9.12,10.1,0
1.77,-43.3,1.92,6.98,4.71,-7.11,-7.3,-21.2,-23.8,-1.09,14.2,13.2,2.77,0
2.81,-38.7,3.07,2.69,-24.7,-27.2,-10.4,-0.954,10.9,-7.24,-21.8,-1.38,8.98,0
0.666,-33.8,-15.8,-12.2,-1.39,-13.9,-0.986,-6.94,-5.69,-2.47,-7.23,0.632,-1.3,0
1.59,-37.6,6.88,1.07,-15.8,-8.22,-17.4,0.467,10.9,3.41,0.447,-18.2,2.46,0
3.75,-35.6,-2.76,20.3,2.37,9.86,14.9,0.57,0.629,1.06,5.15,12.5,11.9,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
3.83,-33.6,-6.3,6.95,-6.58,23.6,19.0,6.6,7.43,14.2,9.3,-5.89,3.58,0
3.47,-30.0,1.67,13.1,-14.7,-5.92,13.6,3.74,-4.05,-0.477,4.12,-3.34,5.69,0
2.05,-40.0,-12.5,-6.42,-13.7,-0.301,5.24,-3.18,1.14,2.67,2.99,6.0,7.91,0
3.17,-34.5,-4.73,7.53,1.57,3.68,-8.42,-14.4,-1.2,-9.09,-4.91,9.29,3.14,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
5.15,-29.8,-18.3,15.7,-7.0,-7.55,4.21,6.31,-10.3,9.82,-0.923,-12.2,-1.12,0
